评论,时间,点赞数,标签
一个优秀的程序员是专业写漏洞！,2022-11-03 12:50:31,0,0
一辈子写不了10万行代码？？？？,2022-11-03 00:13:48,0,0
开始编译 耗时1小时20分钟 编译成功 恭喜你达成千万级代码调试。,2022-11-02 21:25:00,0,0
一个项目十万行，我找到了一个漏洞,2022-11-02 19:14:54,0,0
我三个月都写了50万行,2022-11-02 10:13:32,0,0
说的有道理，debug才是能力,2022-11-01 17:54:17,0,0
一辈子写不了十万行代码？,2022-11-01 17:23:05,0,0
十万行部分模块，不知道你吹什么呢,2022-11-01 15:31:53,0,0
调试！不是写,2022-11-01 00:09:16,0,0
你们那叫码农，HTML也叫写代码😄,2022-10-31 20:55:28,0,0
我记得之前学必修的时候，查错就是让这东西运行，一直缩小范围，最后找到错误地点，然后判断原因吧，找到漏洞好像是很快的吧，怎么改应该才是重点,2022-10-31 18:26:30,0,0
10万行不算复制粘贴有点难度，要不，随便搞搞10万行，现在不说多了50万行起不了,2022-10-31 15:35:20,0,0
"我觉得不是。只不过排错这种性质就像扁鹊三兄弟中扁鹊。三兄弟中，扁鹊能在人濒死的时候救活别人。
但是扁鹊的兄长，能在初期让人规避风险以免出现某种疾病。能在问题发生之前避免问题发生。这才是高人。",2022-10-31 04:31:24,0,0
三天才解决一个bug，效率太低了，甲方爸爸可等不起了。再这样下去这个客户就失去了，快关注我，下载轻代码平台开发系统吧！保证不用写那么多代码。,2022-10-31 03:27:29,0,0
个人感觉代码也需要一种合理性，简单的说就是，考虑的更完善。我们特效的vop层级需要的就是完善，技术好的特效师，更能考虑的更完善，工程更加的稳定，在模型更改的情况下，也能顺利的使用。,2022-10-30 19:04:15,0,0
看名字就是跑火车的人。核心代码有没有500行[doge],2022-10-30 17:03:58,0,0
调试十万。。。那重写得了,2022-10-30 16:12:14,0,0
这是在夸自己利害[doge],2022-10-30 13:53:58,0,0
10行主要是电脑内存的问题，Ctrl+C 剪切板内存不够，10万行粘贴不过来[三星堆],2022-10-30 09:56:42,0,0
10万行前端代码。。。,2022-10-30 01:35:35,0,0
