评论,时间,点赞数,标签
误人子弟啊这个[热],2022-07-31 21:38:29,10,0
有个地方讲错了next数组中存的2并不代表着能直接跳过2个，next数组中存放的是部分匹配值。而模式的移动位数也就是跳过数，应该用已匹配字符数-next数组中存放的部分匹配值，也就是应该是4-2所以应该跳过2个,2022-06-27 15:08:24,3,0
up讲的真好啊，动画也做得很好，要是我学的每个算法都有这么简明的动画，或许对算法的理解会更容易[保卫萝卜_哭哭],2022-06-19 06:50:39,5,0
我有更短的代码,2022-06-19 01:46:06,5,0
为什么跨一位和跨两位效果一样啊,2022-06-15 23:16:33,3,0
子串相对主串的往后移位，移多少是怎么算的啊[笑哭],2022-06-15 17:28:44,4,0
其实这是个Time-Space Tradeoff。原先是O(nm)时间，而KMP是O(n)时间加O(m)内存。,2022-06-15 02:25:12,3,0
kmp是基因序列比对算法的起点,2022-06-12 11:55:09,3,0
我还是去复习教科书吧[无语],2022-06-12 02:21:35,3,0
我之前为了搞懂KMP和正则表达式检测我还特意去学了自动机理论,2022-06-10 07:15:33,3,0
学编译原理的时候在书上看过这个算法,2022-06-09 10:54:53,3,0
"这个next表的算法和我数据结构书上的算法不一样，我用书上的代码算视频里的越算越蒙，书上是一开始i=1,j=0，j=0或者chi=chj则++j ++i next(i)=j",2022-06-07 10:49:11,3,0
为up主[打call],2022-06-05 05:30:08,4,0
期待BM算法，这个算法实际应用要更广泛,2022-06-05 04:00:20,4,0
建议开头一分半的内容弄弄文字版丢简介里,2022-06-04 14:11:17,3,0
生产队的驴都不敢这么歇,2022-06-04 11:15:01,5,0
最好的编程up,2022-06-04 09:48:27,4,0
只是prefix_len = 0时，next【prefix_len - 1】不会越界吗？,2022-06-04 09:35:23,3,0
用智力换体力[点赞],2022-06-04 09:25:12,4,0
为什么理解算法意义就能写出来代码呢？我就写不出来但是我理解意思了[藏狐],2022-06-04 09:19:55,4,0
理解的不对能说说吗？有水平就拿出来说说，好的东西大家都能看出来，无端指责最让人讨厌。,2022-11-24 12:39:01,3,0
"回复 @_BMO : 就是跟大多数人使用的kmp算法中的next的求值不一样，一般（包括考研）会设定next只有第一个值为0，或者说是公共前后缀+1，例如ababc next对应为0,1,1,2,3",2023-01-02 13:16:43,1,0
回复 @_BMO : 具体可以看王道的数据结构，或者CSDN搜索kmp算法,2023-01-02 13:17:58,0,0
关注了！[保卫萝卜_哇],2022-06-19 06:51:14,2,0
https://www.luogu.com.cn/blog/chenyj29/zui-duan-kmp,2022-06-19 01:47:44,4,0
回复 @超大只猫咪 : 6666,2022-09-04 02:34:30,0,0
up的意思是从开头跳过,2022-08-02 08:10:19,0,0
kmp时间复杂度是O（m+n），毕竟生成next数组的时间也要算进去,2022-08-01 15:11:38,2,0
确实！！！！！！建议up主讲之前先放代码或者讲后给个代码！！！！！,2022-06-13 08:55:03,0,0
视频中的next值表示跳过子串前几位那个几，我课本上的next值表示要匹配的子串的数组下标,2022-06-07 13:22:27,0,0
想了一下，python列表的负数代表倒数的元素，所以不会越界，其他语言就不能这么写了,2022-06-04 09:57:14,3,0
"if(prefix_len - 1<0){
  prefix_len = next【next.size()-prefix_len - 1】;
}else{
  prefix_len = next【prefix_len - 1】;
}",2022-06-04 13:19:50,1,0
c++的,2022-06-04 13:20:00,0,0
[doge]不然给了你设计图就会修房子了吗,2022-06-04 15:22:03,0,0
理解算法还要有实现过程的想法，才能用代码写出来,2022-06-05 01:04:36,1,0
那有点可能是代码功底不够[2233娘_疑问],2022-06-05 09:41:33,1,0
